
##############
# h_nominal # 
##############

#Time 	total case
20	1833.8948297378083
21	2096.049161738336
22	2331.2564930498593
23	2541.256177739775
24	2724.2690630046563
25	2874.2707267151745
26	2979.6729435612942
27	3064.767697094594
28	3042.2676090255554
29	2919.6282871824224
30	2690.711381084293
31	2354.053602367938
32	2078.6220621811444
33	1848.6266775067415
34	1650.7847477481118
35	1474.0564118375332
36	1314.0633402795356
37	1170.535839129152
38	1042.545294713891
39	928.7352946729588
40	827.4992063277969
41	737.323427429299
42	656.9545471849051
43	585.3230600789248
44	521.4911523354385
45	464.61782955777744
46	413.9456747416698
47	368.7974638491578
48	328.5699731763525
49	292.7265622216946
50	260.7895290997403
51	232.33324770334002
52	206.97838727929775
53	184.38689426019118
54	164.2575445821858
55	146.32195385763043
56	130.34099809841427
57	116.10161964450526
58	103.4139831633147
59	92.10894430276676
END

##############
# h_k_9.0 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	224.97075000040834
2	179.92040404786292
3	201.49955768369261
4	219.1944187745804
5	233.70415178449764
6	262.44722517581295
7	314.98821062093293
8	370.0330184692432
9	424.9749376090267
10	478.06450742089373
11	537.5243862506359
12	615.3974657530475
13	709.7491226356901
14	817.5461445882538
15	935.330328425709
16	1064.8206082643046
17	1193.57243089054
18	1352.908657551965
19	1538.1332273732642
20	1749.6987631171924
21	1987.7893231082999
22	2198.849568808804
23	2384.6240490512428
24	2543.2037031153595
25	2668.7774181616987
26	2750.6948573784175
27	2840.6891928258774
28	2819.748120938206
29	2705.7433060058684
30	2493.348924690996
31	2181.376497485413
32	1926.1979120342949
33	1713.1038217370296
34	1529.7834323324496
35	1366.0165545267373
36	1217.7560095080407
37	1084.7549208026176
38	966.1517780116556
39	860.6886879565645
40	766.8764691944016
41	683.3126564541235
42	608.8360173449182
43	542.4556517998499
44	483.30262037397915
45	430.59766510785994
46	383.6389671650104
47	341.79901813238394
48	304.51887816760427
49	271.3013004978566
50	241.7036470963576
51	215.33153016467259
52	191.8334568751452
53	170.89618012955907
54	152.24057772348897
55	135.6179556404386
56	120.8067317376408
57	107.60947636105266
58	95.85027729847207
59	85.37239441608835
END

##############
# h_k_12.0 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	239.96099999967328
2	184.71728277339744
3	205.4329953571753
4	222.41983370563628
5	236.34898701145266
6	269.3320336483873
7	320.5240596423662
8	373.6730245180379
9	426.41285633749567
10	477.1658371815229
11	536.5657382986615
12	612.8734818944281
13	704.0930675066938
14	807.3100862823148
15	919.2828393263162
16	1043.0844025945971
17	1158.919941744919
18	1305.2512681923945
19	1474.4238593869304
20	1666.5445950998037
21	1881.984282033769
22	2070.586477641349
23	2234.0631836433495
24	2370.419601901296
25	2474.0697366856803
26	2535.2369985915575
27	2628.8347301974827
28	2609.3722535213965
29	2503.559373191518
