
##############
# h_nominal # 
##############

#Time 	total case
87	69.5914073702
88	64.9672971786
89	60.6467415296
90	56.6098082817
91	52.8378739316
92	49.3135377375
93	46.0205414766
94	42.9436944567
95	40.0688034522
96	37.3826072276
97	34.8727153598
98	32.5275510719
99	30.336297815
100	28.2888493629
101	26.3757631647
102	24.5882167793
103	22.9179671499
104	21.3573125654
105	19.8990571089
106	18.5364774459
107	17.2632917852
108	16.0736308909
109	14.9620109817
110	13.9233084192
111	12.9527360541
112	12.0458211306
113	11.1983846339
114	10.4065220005
115	9.66658509051
116	8.97516534786
117	8.32907806549
118	7.72534767783
119	7.16119402887
END

##############
# h_k_10.8 # 
##############

#Time 	total case
-1	3.9376867652e-10
1	184.445
2	245.948734796
3	206.2604298
4	185.649359434
5	183.189019017
6	226.209062683
7	440.113464414
8	293.651612699
9	351.660834495
10	426.755339675
11	526.285633501
12	245.128250571
13	466.817427676
14	860.562907708
15	864.24364172
16	775.584665196
17	835.9003137
18	1239.23829526
19	1097.84747816
20	987.08636079
21	1748.17474908
22	1895.81263568
23	2822.50716491
24	3062.38558788
25	2898.27075609
26	2000.17852847
27	2710.4563816
28	3508.54474849
29	4377.91969688
30	3355.22948277
31	3138.44726454
32	2077.87890706
33	1358.10590566
34	2003.83484919
35	2115.86850404
36	2141.38364092
37	1748.27348656
38	1466.46654783
39	1206.77739264
40	1038.74695407
41	982.477556254
42	915.496550511
43	846.275195098
44	780.67377572
45	721.520786923
46	668.937631538
47	620.610783849
48	575.480625336
49	533.246665332
50	493.932513079
51	457.568254613
52	423.961822478
53	392.860546421
54	364.034171935
55	337.300645627
56	312.517084745
57	289.551207851
58	268.273563299
59	248.55906207
60	230.290610164
61	213.361170421
62	197.672744197
63	183.13483074
64	169.663337433
65	157.18004671
66	145.612381742
67	134.893123635
68	124.960041139
69	115.755492486
70	107.226056936
71	99.3222179772
72	91.9980833724
73	85.2111265239
74	78.9219422956
75	73.0940171992
76	67.6935159138
77	62.6890842947
78	58.0516676009
79	53.7543422346
80	49.7721596439
81	46.082001493
82	42.6624453733
83	39.4936403929
84	36.5571919129
85	33.836054754
86	31.3144342267
87	28.9776944126
88	26.812273157
89	24.8056033041
90	22.9460397027
91	21.2227915696
92	19.6258598159
93	18.1459789564
94	16.7745632991
95	15.5036570654
96	14.3258881745
97	13.2344254196
98	12.2229387838
99	11.2855626697
100	10.4168618195
101	9.61179974179
102	8.86570945692
103	8.17426637621
104	7.53346319008
105	6.93958657651
106	6.38919563932
107	5.87910191444
108	5.40635084859
109	4.96820463336
110	4.56212630919
111	4.18576501907
112	3.83694235924
113	3.51363972208
114	3.21398657566
115	2.93624959297
116	2.67882258935
117	2.44021719143
118	2.21905419402
119	2.0140555496
END

##############
# h_gamma_9e-06 # 
##############

#Time 	total case
-1	3.9376867652e-10
1	184.445
2	245.948734796
3	206.260434434
4	185.649375149
5	183.189050845
6	226.209114818
7	440.113540765
8	293.651718257
9	351.660980279
10	426.755531908
11	526.285879724
12	245.128560114
13	466.81781236
14	860.563370291
15	864.244190985
16	775.585320979
17	835.901095078
18	1239.23921767
19	1097.84855782
20	987.087624641
21	1748.17621807
22	1895.81432594
23	2822.50911322
24	3062.38783366
25	2898.27336423
26	2000.18156904
27	2710.45991595
28	3508.54880912
29	4377.92433517
30	3355.23477404
31	3138.45330586
32	2077.8857658
33	1358.11364034
34	2003.84348407
35	2115.87804483
36	2141.39411168
37	1748.28491586
38	1466.4789636
39	1206.79081153
40	1038.76138427
41	982.492998163
42	915.513000358
43	846.292647732
44	780.692224366
45	721.540223205
46	668.958045655
47	620.632164825
48	575.502961205
49	533.269943263
50	493.956719464
51	457.593375172
52	423.987842358
53	392.887450292
54	364.061944075
55	337.329269994
56	312.546545048
57	289.581487603
58	268.304645879
59	248.590930769
60	230.323248234
61	213.394561116
62	197.706870806
63	183.169676624
64	169.698886051
65	157.216281647
66	145.649286731
67	134.930682581
68	124.998238132
69	115.794311823
70	107.265483129
71	99.3622357659
72	92.0386777411
73	85.2522827009
74	78.9636457675
75	73.1362537134
76	67.736271484
77	62.7323452072
78	58.0954204126
79	53.7985737763
80	49.8168570269
81	46.1271521002
82	42.7080368682
83	39.5396607116
84	36.6036292664
85	33.882897625
86	31.3616713695
87	29.0253148463
88	26.8602661681
89	24.8539584384
90	22.9947467656
91	21.2718406201
92	19.6752411616
93	18.1956831531
94	16.8245811456
95	15.5539795956
96	14.3765066583
97	13.2853313554
98	12.2741238964
99	11.3370189
100	10.468581327
101	9.66377489778
102	8.9179328357
103	8.22673075838
104	7.58616155043
105	6.99251208392
106	6.44234165239
107	5.93246197376
108	5.45991867332
109	5.02197412249
110	4.61609152923
111	4.23992020292
112	3.89128190302
113	3.5681581828
114	3.26867866016
115	2.99111016231
116	2.73384665007
117	2.49539989208
